序号,矿井场景,场景大类,有什么问题（痛点）,需要什么解决方案,要求什么技术/设备,参考白皮书来源
1,综采工作面,采掘场景,"1.采煤机截割参数凭经验设定，无法自适应煤层变化
2.液压支架自动跟机率低，人工操作劳动强度大
3.工作面直线度难以保障，易导致设备偏移
4.煤层厚度变化时采高难以自动调整","1.智能化综采工作面：实现""记忆截割+自适应截割""联动
2.液压支架自动跟机拉移与自动纠偏
3.工作面自动找直系统
4.基于AI的采高自动调节","1.采煤机惯性导航系统
2.液压支架电液控制系统
3.工作面视频监控+AI识别
4.刮板输送机工况监测传感器
5.LASC直线度检测系统",《煤矿智能化发展蓝皮书》2025；《2024智能矿山暨无人驾驶行业蓝皮书》；国家能源局《煤矿智能化标准体系建设指南》(2024)
2,掘进工作面,采掘场景,"1.掘进机截割精度依赖人工经验，超欠挖严重
2.临时支护与永久支护衔接不畅，效率低
3.掘进工作面粉尘大，能见度低
4.地质条件未知，前方探水探瓦斯困难
5.掘进与运输、通风协调不足","1.智能掘进成套装备：截割+支护+运输+除尘一体化
2.掘进机自主定位定向截割
3.远程遥控/自动化掘进
4.超前地质探测与智能导引
5.掘支平行作业系统","1.掘进机机身位姿感知系统（惯性导航+全站仪）
2.截割轨迹规划与自动控制软件
3.机载临时支护机器人
4.综合除尘成套设备
5.超前地质探测仪（地质雷达/瞬变电磁仪）
6.工业摄像头+边缘计算盒子",《煤矿智能化发展蓝皮书》2025；华为《矿山智能化白皮书》；《金属矿山数字化转型白皮书》(华为)
3,穿爆作业（露天矿）,采掘场景,"1.爆破参数设计凭经验，块度不均匀
2.爆破振动对周边建筑/边坡影响不可控
3.炮孔利用率低，大块率高
4.爆破安全距离内人员管理困难","1.智能穿爆系统：基于地质模型的爆破参数优化
2.爆破振动实时监测与预警
3.数字化爆破设计与管理平台
4.爆破区域智能安全管控","1.智能钻机（自动布孔+精确定位）
2.爆破设计软件
3.爆破振动监测仪
4.高精度GPS/RTK定位系统
5.无人机航拍+三维建模系统",《2024智能矿山暨无人驾驶行业蓝皮书》；《中国智能矿山产业发展白皮书》(亿欧智库)
4,井下主运输系统（带式输送机）,运输场景,"1.输送带跑偏、撕裂、断带等故障频发
2.多台皮带机联动控制效率低，空载率高
3.输送机沿线巡检依赖人工，劳动强度大
4.大倾角/弯曲运输工况适应性差
5.煤流分布不均导致运力浪费","1.输送机智能运维：实时故障预测与健康管理(PHM)
2.多机智能联动与煤流均衡调度
3.机器人沿线智能巡检替代人工
4.输送带防跑偏/防撕裂智能保护
5.煤量智能识别与变频调速","1.输送带防跑偏/防撕裂传感器
2.矿用巡检机器人（轨道式/履带式）
3.变频驱动器(VFD)
4.煤量检测雷达/称重传感器
5.PLC控制系统+SCADA平台
6.红外测温/振动传感器",《煤矿智能化发展蓝皮书》2025；《2024智能矿山暨无人驾驶行业蓝皮书》；国家能源局《煤矿智能化标准体系建设指南》(2024)
5,井下辅助运输,运输场景,"1.无轨胶轮车/电机车调度依赖人工，效率低
2.井下道路狭窄、交叉点多，运输安全隐患大
3.车辆超速、违规驾驶难以实时管控
4.物料/人员运输缺乏统一调度
5.新能源车辆充电管理困难","1.井下辅助运输智能调度系统
2.无人驾驶/远程驾驶辅助运输
3.车辆实时定位与轨迹跟踪
4.统一的""人-车-物料""调度平台
5.新能源车辆智能充电管理","1.5G专网+V2X车路协同设备
2.井下高精度定位系统（UWB/BLE）
3.车载终端+自动驾驶控制器
4.智能交通信号灯/道岔控制器
5.激光雷达+毫米波雷达+摄像头
6.充电桩智能管理系统",《2024智能矿山暨无人驾驶行业蓝皮书》；中国电信《5G智慧矿山融合方案白皮书》；华为《矿山智能化白皮书》
6,露天矿卡车运输,运输场景,"1.大型矿卡人力成本高，司机招聘难
2.疲劳驾驶导致安全事故
3.运输路线固定但调度效率低
4.车辆利用率不高，空驶率高
5.燃油消耗大，碳排放高","1.露天矿无人驾驶运输系统
2.车队智能调度与路径优化
3.纯电动/新能源矿卡替代
4.装卸载全流程自动化
5.运输数据分析与运营优化","1.无人驾驶矿卡
2.高精度卫星定位（RTK-GNSS）
3.车载计算平台+自动驾驶算法
4.智能调度平台
5.电铲/挖掘机协同装载系统
6.V2X通信设备",《2024智能矿山暨无人驾驶行业蓝皮书》；《2025智能矿山暨无人驾驶行业蓝皮书》(亿欧智库)；《中央企业AI应用场景白皮书》(2024)
7,瓦斯监测监控,安全监控,"1.瓦斯传感器精度不足，误报率高
2.传感器维护标定频繁，工作量大
3.瓦斯超限后应急响应不及时
4.瓦斯抽采系统与监测联动不足
5.大面积瓦斯监测覆盖不完整","1.瓦斯智能监测预警系统
2.基于AI的瓦斯涌出量预测
3.瓦斯超限智能联动控制（自动断电/通风）
4.瓦斯抽采系统智能调控
5.传感器远程标定与自诊断","1.红外/激光瓦斯传感器（新一代）
2.多参数环境监测传感器（瓦斯+CO+温度+风速）
3.瓦斯抽采在线监控装置
4.边缘计算网关
5.安全监控综合平台软件
6.智能断电控制器",《煤矿智能化发展蓝皮书》2025；国家能源局《煤矿智能化标准体系建设指南》(2024)；《2026年AI+智慧矿山全场景应用解决方案白皮书》
8,水害防治,安全监控,"1.井下突水/透水事故预警手段不足
2.老空区/含水层水文参数监测不全面
3.排水系统自动化程度低
4.应急预案执行依赖人工决策
5.地表水体与井下联系分析不充分","1.矿井水害智能监测预警系统
2.水文动态多源信息融合分析
3.排水系统自动化与智能调控
4.透水事故智能应急联动
5.地表-井下立体化水情监测","1.水文监测传感器（水位/水压/流量/水温）
2.瞬变电磁探测仪（超前探水）
3.智能排水泵站及自动控制系统
4.微震监测系统
5.地质雷达
6.水情预警平台软件",《煤矿智能化发展蓝皮书》2025；《2026年AI+智慧矿山全场景应用解决方案白皮书》；国家能源局《煤矿智能化标准体系建设指南》(2024)
9,火灾与防灭火,安全监控,"1.煤层自燃发火早期征兆难以识别
2.采空区温度/CO监测覆盖不全
3.防灭火材料注入效果无法评估
4.外因火灾（电缆/设备起火）发现滞后
5.火灾发生后风流调控不及时","1.煤自然发火智能预测预警
2.采空区多参数（温度+CO+O2）立体监测
3.智能注氮/注浆防灭火系统
4.电缆/设备火灾热成像监控
5.火灾智能通风联动控制","1.分布式光纤温度传感系统(DTS)
2.束管监测系统
3.红外热成像仪
4.智能注氮站/注浆站
5.气体分析色谱仪
6.矿用阻燃电缆火灾探测器",《煤矿智能化发展蓝皮书》2025；《2026年AI+智慧矿山全场景应用解决方案白皮书》
10,顶板与矿压监测,安全监控,"1.顶板来压规律预测精度低
2.支架工作阻力监测不连续
3.围岩变形监测手段单一
4.冲击地压预警手段不足
5.大采高/放顶煤工作面矿压显现复杂","1.矿压在线智能监测与预警
2.支架工作阻力连续监测与来压预测
3.围岩变形多源信息融合分析
4.冲击地压多参量综合预警
5.基于AI的顶板管理决策支持","1.矿压监测传感器（压力/位移/应力）
2.微震监测系统
3.钻孔应力计
4.顶板离层仪
5.支架压力监测分站
6.矿压数据分析预警平台",《煤矿智能化发展蓝皮书》2025；国家能源局《煤矿智能化标准体系建设指南》(2024)；《2026年AI+智慧矿山全场景应用解决方案白皮书》
11,矿井通风系统,通风场景,"1.通风网络复杂，风量分配不合理
2.通风能耗高，主扇运行效率低
3.局部通风机管理分散
4.通风设施（风门/风桥）状态监测不足
5.灾变时期风流调控手段有限","1.智能通风系统：按需通风与风量优化
2.主通风机变频节能运行
3.局部通风机智能联动控制
4.通风设施状态在线监测
5.灾变通风智能应急调控","1.风速/风压/风量传感器
2.主通风机变频器+在线监测
3.智能风门/风窗执行机构
4.通风网络解算软件
5.气体检测传感器
6.环境监测分站",《煤矿智能化发展蓝皮书》2025；《中国智能矿山产业发展白皮书》(亿欧智库)；国家能源局《煤矿智能化标准体系建设指南》(2024)
12,矿井通信网络,通信与信息化,"1.井下无线通信信号覆盖不完整
2.多种通信系统并存（WiFi/4G/5G/广播），互不兼容
3.语音/数据/视频传输带宽不足
4.通信设备防爆认证要求高
5.地面与井下通信可靠性差","1.建设5G+WiFi6融合的矿井通信网络
2.统一的矿山通信平台（语音+数据+视频）
3.井下核心网下沉（MEC边缘计算）
4.应急通信保障体系
5.矿鸿(MineHarmony)统一物联协议","1.矿用5G基站（宏站+微站+基站）
2.矿用防爆手机/终端
3.MEC边缘计算平台
4.工业环网交换机
5.融合通信调度平台
6.矿鸿协议智能终端",中国电信《5G智慧矿山融合方案白皮书》；华为《矿山智能化白皮书》；中国电信《5G智慧矿山终端融合白皮书》
13,井下人员定位与管理,人员管理,"1.传统定位精度低（区域级），无法精确到人
2.人员入井/升井管理依赖人工
3.限员管理困难，超员风险高
4.灾变时人员搜救定位不准
5.特殊岗位人员在岗状态不明","1.高精度井下人员定位系统（亚米级/厘米级）
2.智能入井考勤与限员管理
3.人员轨迹分析与行为识别
4.应急搜救精确定位
5.电子围栏与禁区管控","1.UWB/BLE定位基站与标签
2.人脸识别闸机
3.定位管理平台软件
4.防爆智能安全帽（集成定位+通信）
5.人员行为AI分析系统
6.电子围栏系统",《煤矿智能化发展蓝皮书》2025；《中国智能矿山产业发展白皮书》(亿欧智库)；国家能源局《煤矿智能化标准体系建设指南》(2024)
14,大型固定设备运维（主提升/主排水/压风等）,设备运维,"1.设备检修依赖定期计划，过度维修或维修不足
2.设备故障停机影响生产，损失大
3.关键设备运行参数监测不全面
4.设备健康状态评估缺乏数据支撑
5.备品备件管理粗放","1.设备预测性维护（PHM）系统
2.关键设备在线状态监测
3.基于AI的设备故障诊断与寿命预测
4.设备全生命周期管理平台
5.智能备件管理与库存优化","1.振动传感器/温度传感器/油液分析传感器
2.PLC数据采集网关
3.设备健康管理平台(PHM)
4.工业大数据分析平台
5.智能巡检仪/手持终端
6.数字孪生仿真系统",《煤矿智能化发展蓝皮书》2025；ABB《Next Level Mining》白皮书；《2024智能矿山暨无人驾驶行业蓝皮书》
15,地质保障与三维建模,地质保障,"1.地质构造探查精度不够，前方隐伏构造难发现
2.地质模型更新滞后，与实际偏差大
3.多源地质数据融合分析能力弱
4.工作面前方煤层厚度/岩性变化预判不足
5.掘进/回采中地质异常影响生产","1.透明地质/透明工作面系统
2.三维地质模型动态更新
3.多源地质数据融合分析平台
4.基于AI的地质异常智能识别
5.随掘/随采地震超前探测","1.三维地震勘探设备
2.槽波地震仪
3.瞬变电磁仪/地质雷达
4.三维地质建模软件
5.钻孔测井仪
6.地质大数据分析平台",《煤矿智能化发展蓝皮书》2025；《金属矿山数字化转型白皮书》(华为)；《2026年AI+智慧矿山全场景应用解决方案白皮书》
16,选矿/洗煤生产,选矿加工,"1.选矿/洗煤工艺参数人工调节，产品质量波动
2.核心分选设备（重介旋流器/浮选机）智能化程度低
3.尾矿品位偏高，回收率不稳定
4.选矿过程能耗高、药剂消耗大
5.在线检测滞后，无法实时反馈","1.智能选矿/洗煤全流程控制
2.核心分选设备智能控制（重介密度/浮选液位）
3.基于AI的工艺参数优化与质量预测
4.在线品位分析与实时反馈控制
5.尾矿综合利用智能管理","1.在线X荧光分析仪(XRF)/在线灰分仪
2.核心分选设备智能控制器
3.工业摄像头+AI矿石品位识别
4.变频器+智能阀门执行器
5.浮选/重介工艺优化软件
6.选矿DCS控制系统",《中国智能矿山产业发展白皮书》(亿欧智库)；《金属矿山数字化转型白皮书》(华为)；《2024智能矿山暨无人驾驶行业蓝皮书》
17,矿井供电系统,供电保障,"1.井下供电可靠性要求高但故障频发
2.供电系统单线图与实际拓扑不同步
3.继电保护整定复杂，协调困难
4.电能质量监测不完善
5.谐波治理与无功补偿不足","1.智能供电管理系统
2.供电网络拓扑自动识别
3.智能继电保护与故障自愈
4.电能质量在线监测与治理
5.变配电房智能巡检","1.智能综合保护装置
2.电能质量分析仪
3.配电房巡检机器人
4.智能开关柜
5.供电监控SCADA系统
6.无功补偿与谐波治理装置",《煤矿智能化发展蓝皮书》2025；国家能源局《煤矿智能化标准体系建设指南》(2024)
18,矿山综合管控平台,综合管理,"1.各子系统（通风/排水/运输/安全/供电等）信息孤岛严重
2.调度指挥依赖电话+对讲机，效率低
3.生产数据分散，无法形成统一决策依据
4.缺乏全局性的生产态势感知
5.应急指挥缺乏多系统联动支撑","1.矿山综合管控平台（一体化平台）
2.生产调度智能指挥中心
3.多系统数据融合与统一展示
4.基于数字孪生的矿山态势感知
5.应急指挥多系统联动","1.综合管控平台软件
2.大屏可视化系统
3.数据中台/数据湖
4.数字孪生引擎
5.统一指挥调度台
6.AI决策支持系统",华为《矿山智能化白皮书》；《中国智能矿山产业发展白皮书》(亿欧智库)；《2026年AI+智慧矿山全场景应用解决方案白皮书》
19,AI大模型赋能,综合管理,"1.矿山专业AI算法开发门槛高、周期长
2.各场景AI模型重复开发、通用性差
3.AI工业机理模型与矿山专业知识结合不足
4.缺乏统一的AI开发与部署平台
5.数据标注与训练样本积累不足","1.矿山AI大模型一体化平台
2.基于大模型的低代码AI开发
3.矿山专业领域AI模型库
4.AI模型在线推理与持续迭代
5.矿山知识图谱与智能问答","1.AI一体机（推理/训练服务器）
2.矿山AI大模型（如国家能源集团AI平台/中煤""地知""大模型）
3.GPU/NPU算力集群
4.MLOps平台
5.数据标注工具
6.矿山知识图谱构建工具",《2026年AI+智慧矿山全场景应用解决方案白皮书》；华为《矿山智能化白皮书》；《中央企业AI应用场景白皮书》(2024)
20,绿色低碳与环保,综合管理,"1.矿山碳排放核算不准确
2.矸石山/尾矿库环境监测不完善
3.矿井水处理达标率不稳定
4.粉尘/噪声污染治理手段落后
5.绿色矿山评价缺乏数据支撑","1.矿山碳排放智能监测与管理
2.矸石山/尾矿库在线安全监测
3.矿井水处理智能控制系统
4.粉尘/噪声在线监测与自动降尘
5.绿色矿山评价指标数据化管理","1.碳排放监测传感器
2.环境监测站（粉尘/噪声/水质）
3.智能喷雾降尘系统
4.矿井水处理PLC控制系统
5.环保数据管理平台
6.无人机环保巡检系统",《中国智能矿山产业发展白皮书》(亿欧智库)；《2024智能矿山暨无人驾驶行业蓝皮书》；FARO《Mapping the Underground World》白皮书
